res,ref,cmp,note
блокировало ли я его собой от них?,блокировало ли я его от них собой?,FALSE,order
не блокировал ли я их им от него?,не блокировал ли я их от него им?,FALSE,order
блокирует ли она себя нами от них?,блокирует ли она себя от них нами?,FALSE,order
блокировало ли оно его ей от него?,блокировало ли оно его от него ей?,FALSE,order
блокируйте нас им от вас!,блокируйте нас от вас им!,FALSE,order
не блокирует ли он вас ему от тебя?,не блокирует ли он вас от тебя ему?,FALSE,wrong ref
не мешайте ему в ней!,не мешайте ему в ней ей!,FALSE,wrong ref
они не будут мешать тебе в нём.,они не будут мешать тебе в нём им.,FALSE,object missing
не мешает ли она нам тобой в вас?,не мешает ли она нам в вас тобой?,FALSE,order?
мешала ли бы ты ей в вас?,мешала ли бы ты ей в вас ей?,FALSE,duplicated word
она не мешает ему в ней.,она не мешает ему в ней ими.,FALSE,???
мешали ли бы вы ей ими?,мешали ли бы вы ей в себе ими?,FALSE,reflection missing
оно не мешало бы нам в нём.,оно не мешало бы нам в нём им.,FALSE,object missing
мы не будем мешать ему в ней.,мы не будем мешать ему в ней ими.,FALSE,???
они не обновят на.,они не обновят.,FALSE,???
не обновите на ново!,не обновите!,FALSE,???
обнови над!,обнови!,FALSE,???
они обновят на.,они обновят.,FALSE,???
не будет ли он обосновать меня ей?,не обоснует ли он меня ей?,FALSE,future tense
он не будет обосновать её ему.,он не обоснует её ему.,FALSE,another future form
не будем ли мы обосновать себя им?,не обоснуем ли мы себя им?,FALSE,future tense with error
он будет обосновать его им.,он обоснует его им.,FALSE,future tense with error
будет ли она обосновать нас вами?,обоснует ли она нас вами?,FALSE,future tense with error
вы не поболтали бы с собой по мне.,вы не поболтали бы с собой о них по мне.,FALSE,wrong ref
он не поболтал с ними по вам.,он не поболтал с ними о себе по вам.,FALSE,wrong ref
поболтали ли они с ним по себе?,поболтали ли они с ним о ней по себе?,FALSE,wrong ref
оно не поболтало с ней по ним.,оно не поболтало с ней обо мне по ним.,FALSE,wrong ref
он не поболтал с нами по тебе.,он не поболтал с нами обо мне по тебе.,FALSE,wrong ref
поболтал ли он с тобой по ним?,поболтал ли он с тобой о вас по ним?,FALSE,wrong ref
оно не поболтало бы с нему по нему.,оно не поболтало бы с нему о тебе по нему.,FALSE,wrong ref
вы не поболтали с тобой по нему.,вы не поболтали с тобой о нас по нему.,FALSE,wrong ref
я не поболтал бы с ним по нему.,я не поболтал бы с ним о нём по нему.,FALSE,wrong ref
мы поболтали бы со мной по нему.,мы поболтали бы со мной о ней по нему.,FALSE,wrong ref
не поболтаешь ли ты с ними по нему?,не поболтаешь ли ты с ними о нём по нему?,FALSE,wrong ref
оно не будет подавить их мной.,оно не подавит их мной.,FALSE,future tense with error
подавь её собой!,подави её собой!,FALSE,???
будешь ли ты подавить его ей?,подавишь ли ты его ей?,FALSE,future tense with error
я не буду подавить себя ими.,я не подавлю себя ими.,FALSE,future tense with error
ты не будешь подавить его им.,ты не подавишь его им.,FALSE,future tense with error
не подавь его мной!,не подави его мной!,FALSE,future tense with error
я подвела бы его за неё.,я подвела бы его под них за неё.,FALSE,???
она подведет его за вас.,она подведет его под нас за вас.,FALSE,???
не подвели ли они нас за него?,не подвели ли они нас под меня за него?,FALSE,???
не подвело ли я себя за тебя?,не подвело ли я себя под нас за тебя?,FALSE,wrong ref
ты продвело бы нас.,ты подвело бы нас под меня.,FALSE,wrong ref
мы продвели бы вас за меня.,мы подвели бы вас под них за меня.,FALSE,???
не будет ли она познать его по нему?,не познает ли она его по нему?,FALSE,future tense with error
он будет познать меня по нему.,он познает меня по нему.,FALSE,future tense with error
оно не прибавило бы ему её.,оно не прибавило бы её ему.,FALSE,order
не прибавил ли он ей тебя?,не прибавил ли он тебя ей?,FALSE,order
он не придерживался бы тобой за него.,он не придерживался бы за него тобой.,FALSE,order
ты придерживалась мной за себя.,ты придерживалась за себя мной.,FALSE,order
он не придерживается нами за неё.,он не придерживается за неё нами.,FALSE,order
они придерживались бы ей за тебя.,они придерживались бы за тебя ей.,FALSE,order
я придерживался ему за себя.,я придерживался за себя ему.,FALSE,wrong ref
придерживались ли бы вы собой за неё?,придерживались ли бы вы за неё собой?,FALSE,order
придерживался ли ты вами за себя?,придерживался ли ты за себя вами?,FALSE,wrong ref
она придерживалась бы мной за себя.,она придерживалась бы за себя мной.,FALSE,order
он не придерживается ими за них.,он не придерживается за них ими.,FALSE,order
мы не придерживаемся им за неё.,мы не придерживаемся за неё им.,FALSE,order
не придерживался ли он вами за него?,не придерживался ли он за него вами?,FALSE,order
мы не придерживаемся им за него.,мы не придерживаемся за него им.,FALSE,order
придерживалось ли я им за себя?,придерживалось ли я за себя им?,FALSE,order
она не проголосовала бы.,она не проголосовала бы против тебя.,FALSE,???
ты не проголосовала бы.,ты не проголосовала бы против нас.,FALSE,???
проголосовал ли бы он?,проголосовал ли бы он против нас?,FALSE,???
они проголосовали бы.,они проголосовали бы против меня.,FALSE,???
она будет впроголосовать.,она проголосует против себя.,FALSE,???
ты не проголосовало бы.,ты не проголосовало бы против вас.,FALSE,wrong ref
не проголосовало ли бы оно?,не проголосовало ли бы оно против себя?,FALSE,???
она проголосовала бы.,она проголосовала бы против нас.,FALSE,???
вы не будете прогуляться в ней.,вы не прогуляетесь в ней.,FALSE,future tense with error
вы не будете противость нам.,вы не будете противостоять нам.,FALSE,???
я противоствую ему.,я противостою ему.,FALSE,???
будем ли мы противостроять им?,будем ли мы противостоять им?,FALSE,???
буду ли я противостроять себе?,буду ли я противостоять себе?,FALSE,???
будет ли он противостроять ему?,будет ли он противостоять ему?,FALSE,???
противоствуешь ли ты им?,противостоишь ли ты им?,FALSE,???
не будут ли они пустить нас из меня на тебя за сой?,не пустят ли они нас из меня на тебя за собой?,FALSE,future tense with error
оно не будет пустить их от них в него за ними.,оно не пустит их от них в него за ними.,FALSE,future tense with error
не будет ли она пустить тебя от меня к нему за собой?,не пустит ли она тебя от меня к нему за собой?,FALSE,future tense with error
вы не размещаете нас на мне.,вы не будете размещать нас на мне.,FALSE,future tense
не размещают ли они меня на них?,не будут ли они размещать меня на них?,FALSE,future tense
размещаем ли мы её на вас?,будем ли мы размещать её на вас?,FALSE,future tense
мы будем разорвать его вами.,мы разорвем его вами.,FALSE,future tense with error
будут ли они разорвать тебя собой?,разорвут ли они тебя собой?,FALSE,future tense with error
она будет разорвать тебя нами.,она разорвет тебя нами.,FALSE,future tense with error
мы будем разорвать тебя в меня.,мы разорвем тебя в меня.,FALSE,future tense with error
вы будете разорвать нас в тебя.,вы разорвете нас в тебя.,FALSE,future tense with error
они не будут разорвать тебя себе.,они не разорвут тебя себе.,FALSE,future tense with error
она будет разорвать его с тобой.,она разорвет его с тобой.,FALSE,future tense with error
не развлюсь ли я?,не разовьюсь ли я?,FALSE,???
развитесь!,развейтесь!,FALSE,???
не будешь ли ты развиться?,не разовьешься ли ты?,FALSE,another future form
не будет ли она скопировать меня из вас в них?,не скопирует ли она меня из вас в них?,FALSE,future tense with error
не будешь ли ты скопировать её из неё в вас?,не скопируешь ли ты её из неё в вас?,FALSE,future tense with error
он будет скопировать его из него в него.,он скопирует его из него в него.,FALSE,future tense with error
будет ли она скопировать нас с вас на тебя?,скопирует ли она нас с вас на тебя?,FALSE,future tense with error
они не снямут его с тебя.,они не снимут его с тебя.,FALSE,???
цитировала ли она ему тебя?,цитировала ли она тебя ему?,FALSE,order
он упростил её вам.,он упростил вам её.,FALSE,order
упростило ли оно их ему?,упростило ли оно ему их?,FALSE,order
упрости их тебе!,упрости тебе их!,FALSE,order
упростил ли бы я себя вам?,упростил ли бы я вам себя?,FALSE,order
он упростит вас тебе.,он упростит тебе вас.,FALSE,order
не упростило ли я её вам?,не упростило ли я вам её?,FALSE,"order, wrong ref"
ты не упростишь его им.,ты не упростишь им его.,FALSE,order
оно не упростит вас ему.,оно не упростит ему вас.,FALSE,order
она не упростила нас мне.,она не упростила мне нас.,FALSE,order
я не упрошу их ей.,я не упрощу ей их.,FALSE,order
он не упростил бы меня себе.,он не упростил бы себе меня.,FALSE,order
они упростили тебя им.,они упростили им тебя.,FALSE,order
я упростило бы вас себе.,я упростило бы себе вас.,FALSE,order
он не упростил его нам.,он не упростил нам его.,FALSE,order
вы упростите меня нам.,вы упростите нам меня.,FALSE,order
ведутся ли они мной?,будут ли они вестись мной?,FALSE,tense
ты не ведешься вами.,ты не ведёшься вами.,FALSE,e
он ведется нами.,он будет вестись нами.,FALSE,tense
велся ли бы он на него?,вёлся ли бы он на него?,FALSE,e
ты велся бы нами.,ты вёлся бы нами.,FALSE,e
я не велся бы на тебя.,я не вёлся бы на тебя.,FALSE,e
он не ведется.,он не будет вестись.,FALSE,tense
ведусь ли я собой?,буду ли я вестись собой?,FALSE,tense
ведусь ли я на них?,буду ли я вестись на них?,FALSE,tense
внедрят ли они их в вас?,внедряют ли они их в вас?,FALSE,???
они внедрят его ему.,они внедряют его ему.,FALSE,tense
внедрят ли они их в него?,внедряют ли они их в него?,FALSE,tense
он не воспроизвел себя в вас.,он не воспроизвёл себя в вас.,FALSE,e
ты воспроизвел бы себя на нас.,ты воспроизвёл бы себя на нас.,FALSE,e
не воспроизвел ли он её в нём?,не воспроизвёл ли он её в нём?,FALSE,e
вывожу ли я их с вас к тебе?,буду ли я выводить их с вас к тебе?,FALSE,future tense
он не выводит её из нас тобой.,он не будет выводить её из нас тобой.,FALSE,future tense
он выводит его с нас в меня.,он будет выводить его с нас в меня.,FALSE,future tense
он выводит тебя с меня ему.,он будет выводить тебя с меня ему.,FALSE,future tense
не взаимодей с тобой!,не взаимодействуй с тобой!,FALSE,???
ты не блокировал бы меня нам вами.,ты не блокировал бы меня нам вами.,TRUE,
она блокирует его ему ему.,она блокирует его ему ему.,TRUE,
будет ли он блокировать меня им нами?,будет ли он блокировать меня им нами?,TRUE,
не блокировало ли я его от неё?,не блокировало ли я его от неё?,TRUE,
не блокировали ли вы себя им?,не блокировали ли вы себя им?,TRUE,
не блокировало ли ты меня ему?,не блокировало ли ты меня ему?,TRUE,
не будет ли она блокировать вас нам ими?,не будет ли она блокировать вас нам ими?,TRUE,
будет ли он блокировать её им собой?,будет ли он блокировать её им собой?,TRUE,
они блокировали тебя им собой.,они блокировали тебя им собой.,TRUE,
я блокировало её вам нами.,я блокировало её вам нами.,TRUE,
блокировало ли ты их от него?,блокировало ли ты их от него?,TRUE,
оно блокирует его себе вами.,оно блокирует его себе вами.,TRUE,
мы не будем блокировать её ему ей.,мы не будем блокировать её ему ей.,TRUE,
я не блокировала его им ими.,я не блокировала его им ими.,TRUE,
блокируете ли вы его себе ей?,блокируете ли вы его себе ей?,TRUE,
не блокировал ли бы он его вам ему?,не блокировал ли бы он его вам ему?,TRUE,
будет ли она давить тебя из нас?,будет ли она давить тебя из нас?,TRUE,
ты давил вас им.,ты давил вас им.,TRUE,
ты не будешь давить их из них.,ты не будешь давить их из них.,TRUE,
мы давим его мной.,мы давим его мной.,TRUE,
давили ли они вас ей?,давили ли они вас ей?,TRUE,
ты не давила вас ему.,ты не давила вас ему.,TRUE,
не давили ли они его тобой?,не давили ли они его тобой?,TRUE,
он не будет давить себе на них.,он не будет давить себе на них.,TRUE,
не давило ли ты его из него?,не давило ли ты его из него?,TRUE,
давило ли я их из них?,давило ли я их из них?,TRUE,
они давят тебя себе.,они давят тебя себе.,TRUE,
оно не давит вас ими.,оно не давит вас ими.,TRUE,
буду ли я давить им на него?,буду ли я давить им на него?,TRUE,
не давил ли ты вас?,не давил ли ты вас?,TRUE,
буду ли я давить его им?,буду ли я давить его им?,TRUE,
она будет давить тебя нам.,она будет давить тебя нам.,TRUE,
будет ли она давить тебя ему?,будет ли она давить тебя ему?,TRUE,
он не будет давить её тобой.,он не будет давить её тобой.,TRUE,
не давите ей на меня!,не давите ей на меня!,TRUE,
давило ли бы я на себя?,давило ли бы я на себя?,TRUE,
оно давило меня вами.,оно давило меня вами.,TRUE,
они давили бы вас из меня.,они давили бы вас из меня.,TRUE,
держала ли бы ты вас в них?,держала ли бы ты вас в них?,TRUE,
не держала ли бы я его под ними?,не держала ли бы я его под ними?,TRUE,
оно не держит его ей.,оно не держит его ей.,TRUE,
ты держал бы меня под себя.,ты держал бы меня под себя.,TRUE,
не держал ли я себя в нём?,не держал ли я себя в нём?,TRUE,
держал ли он тебя под него?,держал ли он тебя под него?,TRUE,
держали ли мы вас на себе?,держали ли мы вас на себе?,TRUE,
не будет ли он держать его за него?,не будет ли он держать его за него?,TRUE,
не держало ли бы оно её в тебе?,не держало ли бы оно её в тебе?,TRUE,
не держали ли бы вы себя за него?,не держали ли бы вы себя за него?,TRUE,
держала ли бы ты себя на них?,держала ли бы ты себя на них?,TRUE,
держала ли бы ты меня под себя?,держала ли бы ты меня под себя?,TRUE,
будешь ли ты держать их под вас?,будешь ли ты держать их под вас?,TRUE,
будешь ли ты держать его под неё?,будешь ли ты держать его под неё?,TRUE,
она не держала бы меня в нём.,она не держала бы меня в нём.,TRUE,
держала ли ты его за него?,держала ли ты его за него?,TRUE,
вы держите его под нему.,вы держите его под нему.,TRUE,
я держал тебя в нас.,я держал тебя в нас.,TRUE,
держали ли вы меня за них?,держали ли вы меня за них?,TRUE,
копируете ли вы с себя?,копируете ли вы с себя?,TRUE,
ты не копировала из них на нас.,ты не копировала из них на нас.,TRUE,
они копируют из неё в него.,они копируют из неё в него.,TRUE,
я копировала из него в нас.,я копировала из него в нас.,TRUE,
ты копировал бы из них на себя.,ты копировал бы из них на себя.,TRUE,
будешь ли ты копировать с них в нас?,будешь ли ты копировать с них в нас?,TRUE,
ты копируешь с себя на нас.,ты копируешь с себя на нас.,TRUE,
